ID,Date,User,Tweet,hashtags,language,source,views,platform,sentiment
4214,2022-11-27,ChrisMennell,"Midjourney Fake Space Opera TV show from an alternate 70’s/80’s, Set #1 

#midjourney #aiart #sciencefiction #spaceopera https://t.co/tYhrj0VHaU","['midjourney', 'aiart', 'sciencefiction', 'spaceopera']",en,Twitter for iPhone,0,Midjourney,Neutral
4215,2022-11-27,Jeff_Browndyke,"It was very interesting to see what images AI generated when queried with the word ""delirium.""  Seems like a fair representation of what some patients have described, particularly those with lingering acute stress/PTSD from the experience.  #midjourney #delirium #neurotwitter https://t.co/PDJQGEjvE4","['midjourney', 'delirium', 'neurotwitter']",en,Twitter Web App,0,Midjourney,Positive
4216,2022-11-27,Jaesen_Moreaux,"Film still from 70s horror movie
#midjourney #midjourneyai #aiartcommunity #AIart #AIArtwork #TheBeastsofAI #stablediffusion https://t.co/t0H1miI1dh","['midjourney', 'midjourneyai', 'aiartcommunity', 'AIart', 'AIArtwork', 'TheBeastsofAI', 'stablediffusion']",en,Twitter Web App,0,Midjourney,Neutral
4217,2022-11-27,anchorball_nft,"Marge was also in recovery from doing too much AI - she was heard to tell Bart - “it’s like doing crack hitting those buttons…”
#AIart  #aiartcommunity #midjourney #stablediffusion #dalle2 #generativeart #midjourneyV4 #sculpture #art https://t.co/IU1DL8hsIk","['AIart', 'aiartcommunity', 'midjourney', 'stablediffusion', 'dalle2', 'generativeart', 'midjourneyV4', 'sculpture', 'art']",en,Twitter for iPhone,0,Midjourney,Neutral
4218,2022-11-27,GenerativeBoops,"This is one of my favorite #Midjourney pieces I've generated. ""Dismal Pug (from @STARKADEworld) riding a Cyberpunk Shark"" 😅 #aiart https://t.co/YnN4qWkBc9","['Midjourney', 'aiart']",en,Twitter Web App,0,Midjourney,Positive
4219,2022-11-27,captnkrill,"If you're in town let's grab a pint of orange Pihyak! This stuff is fly AF, 50mL in and we're doing parkour from crater to crater! #scifiart #aiart #midjourney 🍊🍊 https://t.co/GiiWGLNRgk","['scifiart', 'aiart', 'midjourney']",en,Twitter for iPhone,0,Midjourney,Positive
4220,2022-11-27,Gresshelm,1974 Build your own Neutron Bomb kit - withdrawn from market for unknown reasons #Midjourney https://t.co/KdW6oAbpJS,['Midjourney'],en,Twitter for iPhone,0,Midjourney,Neutral
4221,2022-11-27,zacharyhorn,"Practicing by trying to reproduce Moebius’ style in #midjourney. These are close but missing the mark. 

@ErotemeArt’s suggestion of “--no Midjourney” definitely helps with potential interference from v4. 

Anyone found anything else that works? https://t.co/oqOeFxzrT4",['midjourney'],en,Twitter for iPhone,0,Midjourney,Neutral
4222,2022-11-27,Descartes1,"Nuka Girl from #Fallout4 well, sort of.
#midjourney https://t.co/swFPSKQkzx","['Fallout4', 'midjourney']",en,Twitter for Android,0,Midjourney,Neutral
4223,2022-11-27,DonnyRokk,"The BBEG from my first campaign, and possibly my next…
#pathfinder #pathfinderrpg #rpg #ttrpg #dnd #paizo #midjourney https://t.co/dGn8g2nkqk","['pathfinder', 'pathfinderrpg', 'rpg', 'ttrpg', 'dnd', 'paizo', 'midjourney']",en,Twitter for iPhone,0,Midjourney,Neutral
4224,2022-11-27,Tom_Ciszewski,"Some Midjourney v4 results from today.
#midjourney #aigeneratedart #cinematography https://t.co/adS8EzOew8","['midjourney', 'aigeneratedart', 'cinematography']",en,Twitter for iPhone,0,Midjourney,Neutral
4225,2022-11-27,beletraz,"🏜️Still testing ""Thristland"" (Stable Diffusion 2.0), the most catchy dude from today's session👀

#AIart #NFTartists #stablediffusion2 #midjourney #nftcollector #nft #nfts https://t.co/mRDJ4v2lMW","['AIart', 'NFTartists', 'stablediffusion2', 'midjourney', 'nftcollector', 'nft', 'nfts']",en,Twitter Web App,0,Midjourney,Positive
4226,2022-11-27,d_demne,"Humans are the ultimate horror film from the perspective of almost any animal.
#aiart #art #darkart
#darkfantasy
#fantasy #artwork
#darksurrealism
#dream #fantasy #artstyle
#artworld #newpost #darkside
#artwork #ghostart #creepyart
#artphoto #photoart #artoftheday
#midjourney https://t.co/6cJSGMrTSU","['aiart', 'art', 'darkart', 'darkfantasy', 'fantasy', 'artwork', 'darksurrealism', 'dream', 'fantasy', 'artstyle', 'artworld', 'newpost', 'darkside', 'artwork', 'ghostart', 'creepyart', 'artphoto', 'photoart', 'artoftheday', 'midjourney']",en,Twitter for Android,0,Midjourney,Negative
4227,2022-11-27,markdaycomedy,"A Moebius #midjourney take on #Burningman (from some Euterpe reference pix, #IYKYK ) #aiartcommunity https://t.co/c3qI5zKQjY","['midjourney', 'Burningman', 'IYKYK', 'aiartcommunity']",en,Twitter for iPhone,0,Midjourney,Neutral
4228,2022-11-27,TheNakedRabbit,"#midjourney -I used a quote from @jimwoodringcartoonist -“Two children inadvertently kill an agent of the devil through an excess of youthful high spirits.” Jim’s is better of course, but this has it’s merits. #midjourneyartwork #midjourneyv4 #devil #hor… https://t.co/iOUF3H1vwG https://t.co/VbtO24m5FY","['midjourney', 'midjourneyartwork', 'midjourneyv4', 'devil', 'hor']",en,IFTTT,0,Midjourney,Neutral
4229,2022-11-27,RaviMikkelsen,"If you have tried #midjourney yet, it's pretty incredible to see art come to life from a simple prompt. https://t.co/NyO36XvdWi",['midjourney'],en,Twitter Web App,0,Midjourney,Positive
