ID,Date,User,Tweet,hashtags,language,source,views,platform,sentiment
5257,2022-11-06,artighan_ai,"Are you experienced? From Jimi Hendrix

#midjourneyAi #midjourneyart #midjourney #AIart #aiartist #aiartcommunity https://t.co/sUmPqMOyhs","['midjourneyAi', 'midjourneyart', 'midjourney', 'AIart', 'aiartist', 'aiartcommunity']",en,Twitter for iPhone,0,Midjourney,Neutral
5258,2022-11-06,_SmilingLemon,"The hunger was insatiable, a never-ending void that could only be filled by devouring everything in sight. There was no satisfaction, only a brief respite from the demon that drove its host to consume.

no. 901
#horrorprompt #vsshorror
h/t #Midjourney https://t.co/8YIdMePcgT","['horrorprompt', 'vsshorror', 'Midjourney']",en,Typefully,0,Midjourney,Negative
5259,2022-11-06,roundtriptotiny,"Taking the future from the past. An idea from a while ago… working it into a song.

Tartan and balloons… 
Virtual A/W 2022 collection…

#synthpop #dreampop #bedroompop #electronica #indietronica #vintagesynths #musicproducer #aiart #aiartcommunity #midjourney https://t.co/2kInyDiKn7","['synthpop', 'dreampop', 'bedroompop', 'electronica', 'indietronica', 'vintagesynths', 'musicproducer', 'aiart', 'aiartcommunity', 'midjourney']",en,Twitter for iPhone,0,Midjourney,Neutral
5260,2022-11-06,xennaic,"Retro comic bubblegum cyberpunk. Rerun prompts with images from v3 in v4.

#aiart #aiartwork #midjourney #cyberpunk #comic #scifi #retrocomics https://t.co/Q9ogB2dVf6","['aiart', 'aiartwork', 'midjourney', 'cyberpunk', 'comic', 'scifi', 'retrocomics']",en,Twitter for iPhone,0,Midjourney,Neutral
5261,2022-11-06,vellectrum,“Eldritch” “Idyllic” “Mist Valley of the Great Wyrm” and “Stares Back” are some selects from my recent #AiArtwork using #midjourney. #MidjourneyAI #midjourneyart #AIart #aiartcommunity #AIartists #Creative #artistsontwitter https://t.co/MVSqrpo2kN,"['AiArtwork', 'midjourney', 'MidjourneyAI', 'midjourneyart', 'AIart', 'aiartcommunity', 'AIartists', 'Creative', 'artistsontwitter']",en,Twitter for iPhone,0,Midjourney,Neutral
5262,2022-11-06,invisible_Art19,"- Im from police
- Which police?
- The Police.
#AI #midjourneyAi #midjourneyart #digitalart #NFTCommunity #fantasyworld #AIart #AiArtwork #midjourney #artistsontwitter #絵柄が好みって人にフォローされたい #イラスト #秋の創作クラスタフォロー祭り #tezoscommunity #tezosart https://t.co/ACfBfM2W2l","['AI', 'midjourneyAi', 'midjourneyart', 'digitalart', 'NFTCommunity', 'fantasyworld', 'AIart', 'AiArtwork', 'midjourney', 'artistsontwitter', '絵柄が好みって人にフォローされたい', 'イラスト', '秋の創作クラスタフォロー祭り', 'tezoscommunity', 'tezosart']",en,Twitter Web App,0,Midjourney,Neutral
5263,2022-11-06,TwistedroadsM,Just Like A Slasher Film - A #Creepypasta Tale From #2020TOO #Microfiction #words #Midjourney #MidjourneyArt #365daychallenge #twistedroads #shortstory #fiction #reading #madness #flashfiction #Horror #MutantFam #HorrorFamily #weird https://t.co/u00shQ1B3x,"['Creepypasta', '2020TOO', 'Microfiction', 'words', 'Midjourney', 'MidjourneyArt', '365daychallenge', 'twistedroads', 'shortstory', 'fiction', 'reading', 'madness', 'flashfiction', 'Horror', 'MutantFam', 'HorrorFamily', 'weird']",en,Jetpack.com,0,Midjourney,Neutral
5264,2022-11-06,unspecific,The cover is #aiart from #midjourney    Told you I would be using it for album covers.,"['aiart', 'midjourney']",en,Twitter for iPhone,0,Midjourney,Neutral
5265,2022-11-06,CoffeeVectors,Accessories—Gm! Another image from #midjourney v4! Really impressed by the sharpness of the small details in what MJ4 is able to make! #ai #aiartist #MachineLearning #deeplearning #aiartcommunity #genart #aiia #aiartists https://t.co/HDlZUFNvjA,"['midjourney', 'ai', 'aiartist', 'MachineLearning', 'deeplearning', 'aiartcommunity', 'genart', 'aiia', 'aiartists']",en,Twitter for iPhone,0,Midjourney,Positive
5266,2022-11-06,dreamingtulpa,"GM ✨ #aiia #aiiart #midjourney

I love image prompting. But I'm having trouble deviating from the subject that is shown within the prompted image. Seems like MJ is doing some clip interrogation which is hard to circumvent. At least I haven't found a way yet. https://t.co/Ww2Gb8RlI6","['aiia', 'aiiart', 'midjourney']",en,Twitter Web App,0,Midjourney,Negative
